Sold Price,Beds,Baths,Floors,Garage Spaces,Lot Size (sq ft),Home Size (sq ft),Year Built,School Score Avg,Walk Score,Transit Score,Bike Score,Laundry,Heating,Air Conditioning,Pool,Address,City,County,Zip Code,Property Type,Sold Status,URL
1450000,4,2.0,1,2,10916.136,1290,1927,nan,nan,nan,nan,False,True,False,True,413 6TH AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/413-Sixth-Ave-94025/home/1761540
2600000,3,3.0,2,2,5005.044,2200,1956,7.666666666666667,41,24,55,True,True,False,True,912 HARMON DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/912-Harmon-Dr-94025/home/1761616
3000000,4,2.0,1,1,5998.2119999999995,2285,1949,nan,nan,nan,nan,True,True,False,True,2080 MILLS AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2080-Mills-Ave-94025/home/1762291
4100000,4,2.0,1,2,10010.088,1800,1951,8.0,27,18,76,True,True,False,False,1165 HILLVIEW DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1165-Hillview-Dr-94025/home/1776444
2855000,3,2.0,1,2,6899.904,1830,1948,7.666666666666667,23,32,70,True,True,False,True,323 BAY RD,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/323-Bay-Rd-94025/home/1784733
940000,3,1.0,1,2,9583.2,1050,1953,3.25,nan,nan,nan,False,True,False,True,2779 XAVIER ST,EAST PALO ALTO,SAN MATEO COUNTY,94303,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/East-Palo-Alto/2779-Xavier-St-94303/home/1793493
3449000,5,2.5,2,2,5998.2119999999995,2760,2004,nan,nan,nan,nan,True,True,True,True,2120 ASHTON AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2120-Ashton-Ave-94025/home/1794110
2295000,4,3.0,1,2,5000.688,1870,1956,7.666666666666667,49,25,54,True,True,False,True,51 LORELEI LN,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/51-Lorelei-Ln-94025/home/1809066
7195000,4,2.0,1,2,21814.848,1750,1933,8.0,43,30,71,True,True,True,False,654 HERMOSA WAY,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/654-Hermosa-Way-94025/home/1809660
1937696,3,1.0,1,0,21814.848,1080,1951,7.666666666666667,70,37,80,False,False,False,False,211 HAIGHT ST,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY RESIDENTIAL,Sold,https://www.redfin.com/CA/Menlo-Park/211-Haight-St-94025/home/1816535
